CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
00.000.432/0001-00;01/02/2005;148778766.37;18.226.847.000.000;148770861.37;0.00;0.00;1
00.000.432/0001-00;02/02/2005;149060069.70;18.261.262.000.000;149051759.11;0.00;0.00;1
00.000.432/0001-00;03/02/2005;149108183.11;18.267.107.000.000;149099466.83;0.00;0.00;1
00.000.432/0001-00;04/02/2005;148707649.79;18.279.205.000.000;148698211.39;0.00;500000.00;1
00.000.432/0001-00;09/02/2005;148823409.45;18.287.979.000.000;148769588.19;0.00;0.00;1
00.000.432/0001-00;10/02/2005;151287753.08;18.303.969.000.000;151279661.53;2380000.00;0.00;1
00.000.432/0001-00;11/02/2005;151392473.76;18.314.784.000.000;151369046.65;0.00;0.00;1
00.000.432/0001-00;14/02/2005;151552178.31;18.321.065.000.000;151420963.09;0.00;0.00;1
00.000.432/0001-00;15/02/2005;151953500.14;18.326.299.000.000;151464220.34;0.00;0.00;1
00.000.432/0001-00;16/02/2005;152224543.06;18.345.680.000.000;151624395.70;0.00;0.00;1
00.000.432/0001-00;17/02/2005;152487106.42;18.345.377.000.000;151621892.92;0.00;0.00;1
00.000.432/0001-00;18/02/2005;152688689.91;18.351.171.000.000;151669778.26;0.00;0.00;1
00.000.432/0001-00;21/02/2005;152940883.19;18.363.686.000.000;151773219.72;0.00;0.00;1
00.000.432/0001-00;22/02/2005;155700778.95;18.375.756.000.000;154872969.17;3000000.00;0.00;1
00.000.432/0001-00;23/02/2005;155209701.65;18.389.140.000.000;154985775.60;0.00;0.00;1
00.000.432/0001-00;24/02/2005;155696363.41;18.398.587.000.000;155065395.91;0.00;0.00;1
00.000.432/0001-00;25/02/2005;155555380.65;18.413.033.000.000;155187146.17;0.00;0.00;1
00.000.432/0001-00;28/02/2005;155552127.71;18.426.616.000.000;155301629.54;0.00;0.00;1
00.000.744/0001-06;01/02/2005;7680000.00;389.083.365.000.000;7678418.01;0.00;23970.32;2927
00.000.744/0001-06;02/02/2005;7683000.00;389.280.070.100.000;7680125.71;0.00;2174.19;2927
00.000.744/0001-06;03/02/2005;7685000.00;389.476.916.200.000;7681539.76;0.00;2469.54;2925
00.000.744/0001-06;04/02/2005;7687000.00;389.674.143.400.000;7681670.33;0.00;3759.28;2925
00.000.744/0001-06;09/02/2005;7687000.00;389.871.402.100.000;7680544.96;0.00;5013.78;2924
00.000.744/0001-06;10/02/2005;7683000.00;390.068.807.300.000;7675267.89;0.00;9165.93;2920
00.000.744/0001-06;11/02/2005;7686000.00;390.266.350.000.000;7677210.47;0.00;1944.37;2920
00.000.744/0001-06;14/02/2005;7689000.00;390.464.028.300.000;7679563.08;0.00;1536.05;2920
00.000.744/0001-06;15/02/2005;7686000.00;390.661.812.500.000;7675120.25;0.00;8332.80;2919
00.000.744/0001-06;16/02/2005;7683000.00;390.859.615.600.000;7670785.58;0.00;8220.80;2916
00.000.744/0001-06;17/02/2005;7688000.00;391.057.562.500.000;7674194.36;0.00;476.00;2915
00.000.744/0001-06;18/02/2005;7692000.00;391.262.097.900.000;7677372.05;0.00;836.14;2915
00.000.744/0001-06;21/02/2005;7691000.00;391.466.768.400.000;7675132.51;0.00;6255.58;2913
00.000.744/0001-06;22/02/2005;7693000.00;391.671.589.300.000;7675228.13;0.00;3920.12;2911
00.000.744/0001-06;23/02/2005;7673000.00;391.876.583.000.000;7654393.01;0.00;24852.19;2909
00.000.744/0001-06;24/02/2005;7677000.00;392.081.714.300.000;7657013.77;0.00;1386.00;2909
00.000.744/0001-06;25/02/2005;7680000.00;392.287.000.500.000;7658777.23;0.00;2245.57;2909
00.000.744/0001-06;28/02/2005;7673000.00;392.492.439.100.000;7650213.43;0.00;12574.64;2909
00.000.746/0001-03;01/02/2005;4563204.84;177.709.590.000.000;4564577.07;0.00;0.00;266
00.000.746/0001-03;02/02/2005;4597337.10;178.884.180.000.000;4594747.26;0.00;0.00;266
00.000.746/0001-03;03/02/2005;4642648.13;180.644.370.000.000;4639958.69;0.00;0.00;266
00.000.746/0001-03;04/02/2005;4736060.03;184.268.000.000.000;4733033.86;0.00;0.00;266
00.000.746/0001-03;09/02/2005;4858457.61;189.035.230.000.000;4855482.84;0.00;0.00;266
00.000.746/0001-03;10/02/2005;4858146.27;189.030.780.000.000;4855368.76;0.00;0.00;266
00.000.746/0001-03;11/02/2005;4925314.63;192.143.380.000.000;4923422.92;0.00;11894.63;265
00.000.746/0001-03;14/02/2005;4933971.70;192.475.700.000.000;4931938.34;0.00;0.00;265
00.000.746/0001-03;15/02/2005;4884744.82;190.852.170.000.000;4883406.79;0.00;6930.56;264
00.000.746/0001-03;16/02/2005;4887915.84;190.934.570.000.000;4885515.23;0.00;0.00;264
00.000.746/0001-03;17/02/2005;4969870.22;194.135.300.000.000;4967413.57;0.00;0.00;264
00.000.746/0001-03;18/02/2005;4983676.50;194.642.170.000.000;4980383.10;0.00;0.00;264
00.000.746/0001-03;21/02/2005;5003989.86;195.540.420.000.000;5000823.62;0.00;2543.23;263
00.000.746/0001-03;22/02/2005;4995398.63;197.587.990.000.000;4999682.21;0.00;53506.93;262
00.000.746/0001-03;23/02/2005;4920027.86;198.233.930.000.000;5003596.50;0.00;12430.14;261
00.000.746/0001-03;24/02/2005;5066280.05;204.180.580.000.000;5149278.26;0.00;4416.82;260
00.000.746/0001-03;25/02/2005;5141956.74;206.857.380.000.000;5216785.09;0.00;0.00;260
00.000.746/0001-03;28/02/2005;5148969.55;204.589.410.000.000;5145328.52;0.00;14260.10;259
00.000.756/0001-30;01/02/2005;7028434.23;2.662.449.000.000;7028274.19;0.00;3278.78;7206
00.000.756/0001-30;02/02/2005;7028498.56;2.662.939.000.000;7027841.14;0.00;1725.11;7199
00.000.756/0001-30;03/02/2005;7025990.62;2.663.308.000.000;7024372.94;0.00;4442.44;7190
00.000.756/0001-30;04/02/2005;7019606.91;2.663.600.000.000;7018932.80;0.00;6209.84;7183
00.000.756/0001-30;09/02/2005;7018454.30;2.663.964.000.000;7017769.11;0.00;2124.19;7179
00.000.756/0001-30;10/02/2005;7014843.55;2.664.324.000.000;7014145.38;0.00;4571.44;7174
00.000.756/0001-30;11/02/2005;7013079.33;2.664.689.000.000;7012373.75;0.00;2733.25;7171
00.000.756/0001-30;14/02/2005;7009177.92;2.665.035.000.000;7008457.58;0.00;4825.68;7160
00.000.756/0001-30;15/02/2005;7004937.90;2.665.369.000.000;7004457.42;0.00;4878.96;7154
00.000.756/0001-30;16/02/2005;6996027.68;2.665.737.000.000;6995534.02;0.00;9891.86;7148
00.000.756/0001-30;17/02/2005;6978911.01;2.666.161.000.000;6978403.52;0.00;18240.99;7141
00.000.756/0001-30;18/02/2005;6978022.48;2.666.595.000.000;6977506.88;0.00;2033.10;7136
00.000.756/0001-30;21/02/2005;6975167.13;2.667.045.000.000;6974637.01;0.00;4047.05;7132
00.000.756/0001-30;22/02/2005;6972499.75;2.667.495.000.000;6971951.42;0.00;3862.39;7127
00.000.756/0001-30;23/02/2005;6970921.99;2.667.911.000.000;6971582.52;0.00;1457.79;7119
00.000.756/0001-30;24/02/2005;6966862.76;2.668.336.000.000;6967520.11;0.00;5169.23;7112
00.000.756/0001-30;25/02/2005;6964662.72;2.668.755.000.000;6965314.15;0.00;3300.66;7109
00.000.756/0001-30;28/02/2005;6944706.35;2.669.196.000.000;6945342.89;0.00;21121.22;7101
00.000.777/0001-56;01/02/2005;20733013.50;5.997.532.000.000;20628135.34;0.00;35808.69;22029
00.000.777/0001-56;02/02/2005;20739429.59;5.999.757.000.000;20628575.44;0.00;7213.13;22028
00.000.777/0001-56;03/02/2005;20744327.26;6.002.191.000.000;20627401.13;0.00;9542.75;22019
00.000.777/0001-56;04/02/2005;20748026.38;6.004.365.000.000;20624980.92;0.00;9892.84;22017
00.000.777/0001-56;09/02/2005;20619394.17;6.006.542.000.000;20596986.07;0.00;35471.40;22006
00.000.777/0001-56;10/02/2005;20622823.55;6.008.568.000.000;20594311.68;0.00;9624.49;21998
00.000.777/0001-56;11/02/2005;20626857.07;6.010.902.000.000;20592465.44;0.00;9842.83;21992
00.000.777/0001-56;14/02/2005;20626785.51;6.013.460.000.000;20586267.46;0.00;14962.09;21983
00.000.777/0001-56;15/02/2005;20632551.04;6.015.384.000.000;20586180.77;0.00;6674.35;21972
00.000.777/0001-56;16/02/2005;20634421.21;6.017.442.000.000;20582132.08;0.00;11091.55;21964
00.000.777/0001-56;17/02/2005;20637815.05;6.019.615.000.000;20579420.82;0.00;10144.59;21953
00.000.777/0001-56;18/02/2005;20637359.58;6.021.898.000.000;20572844.43;0.00;14379.60;21948
00.000.777/0001-56;21/02/2005;20622252.06;6.024.947.000.000;20551543.56;0.00;31719.08;21932
00.000.777/0001-56;22/02/2005;20622442.87;6.027.720.000.000;20545107.61;0.00;15892.48;21921
00.000.777/0001-56;23/02/2005;20630054.96;6.030.350.000.000;20546344.73;0.00;7726.26;21915
00.000.777/0001-56;24/02/2005;20638119.70;6.032.360.000.000;20547822.49;0.00;5372.34;21913
00.000.777/0001-56;25/02/2005;20640521.44;6.034.192.000.000;20543615.10;0.00;10446.84;21901
00.000.777/0001-56;28/02/2005;20578672.79;6.036.280.000.000;20492770.98;0.00;57954.83;21892
00.016.893/0001-63;01/02/2005;36682784.46;6.091.547.700.000;36676868.31;0.00;0.00;1
00.016.893/0001-63;02/02/2005;36710847.84;6.095.633.200.000;36701466.54;0.00;0.00;1
00.016.893/0001-63;03/02/2005;36696495.21;6.099.651.800.000;36725662.17;0.00;0.00;1
00.016.893/0001-63;04/02/2005;36754596.16;6.103.786.900.000;36750559.69;0.00;0.00;1
00.016.893/0001-63;09/02/2005;36777590.75;6.107.701.000.000;36774125.98;0.00;0.00;1
00.016.893/0001-63;10/02/2005;36802689.49;6.111.768.000.000;36798613.37;0.00;0.00;1
00.016.893/0001-63;11/02/2005;36828087.06;6.115.852.900.000;36823208.27;0.00;0.00;1
00.016.893/0001-63;14/02/2005;36852155.16;6.119.970.800.000;36848002.21;0.00;0.00;1
00.016.893/0001-63;15/02/2005;36877149.35;6.124.043.700.000;36872524.65;0.00;0.00;1
00.016.893/0001-63;16/02/2005;36902284.65;6.128.113.200.000;36897026.67;0.00;0.00;1
00.016.893/0001-63;17/02/2005;36927217.24;6.132.156.100.000;36921368.86;0.00;0.00;1
00.016.893/0001-63;18/02/2005;36952376.80;6.136.370.000.000;36946740.58;0.00;0.00;1
00.016.893/0001-63;21/02/2005;36977858.60;6.140.536.500.000;36971826.96;0.00;0.00;1
00.016.893/0001-63;22/02/2005;37003718.29;6.144.706.000.000;36996931.12;0.00;0.00;1
00.016.893/0001-63;23/02/2005;37029386.68;6.148.854.600.000;37021909.95;0.00;0.00;1
00.016.893/0001-63;24/02/2005;37054683.53;6.153.100.100.000;37047471.89;0.00;0.00;1
00.016.893/0001-63;25/02/2005;37080411.13;6.157.284.600.000;37072665.97;0.00;0.00;1
00.016.893/0001-63;28/02/2005;37103805.62;6.161.446.300.000;37097723.67;0.00;0.00;1
00.016.913/0001-04;01/02/2005;112385063.57;15.662.018.000.000;112377051.08;1429237.69;22560.88;125
00.016.913/0001-04;02/02/2005;115106138.46;15.671.838.000.000;115091092.60;2688435.83;44856.14;126
00.016.913/0001-04;03/02/2005;115242449.53;15.681.063.000.000;115213790.68;104957.12;50000.00;127
00.016.913/0001-04;04/02/2005;115421723.57;15.692.052.000.000;115377291.50;82759.63;0.00;127
00.016.913/0001-04;09/02/2005;115635924.10;15.704.586.000.000;115596746.01;127299.96;0.00;127
00.016.913/0001-04;10/02/2005;115915929.78;15.716.555.000.000;115872588.12;224407.35;36668.16;129
00.016.913/0001-04;11/02/2005;116409103.15;15.725.460.000.000;116357548.28;526178.63;106870.12;128
00.016.913/0001-04;14/02/2005;116552850.22;15.735.276.000.000;116491709.56;61527.20;0.00;129
00.016.913/0001-04;15/02/2005;116925405.13;15.747.577.000.000;116853584.38;389933.84;119126.43;130
00.016.913/0001-04;16/02/2005;117100396.87;15.760.231.000.000;117029472.23;106000.00;24008.90;130
00.016.913/0001-04;17/02/2005;117322670.45;15.768.740.000.000;117261245.21;157653.88;11076.08;132
00.016.913/0001-04;18/02/2005;117281540.19;15.780.587.000.000;117199928.73;42887.02;192305.16;132
00.016.913/0001-04;21/02/2005;117927490.32;15.790.199.000.000;117825013.40;563767.44;10070.64;134
00.016.913/0001-04;22/02/2005;118166440.36;15.801.580.000.000;118000702.23;116500.00;25735.55;135
00.016.913/0001-04;23/02/2005;118323298.51;15.818.103.000.000;118196499.97;127800.00;55385.86;135
00.016.913/0001-04;24/02/2005;118755030.99;15.828.589.000.000;118633004.94;358152.23;0.00;138
00.016.913/0001-04;25/02/2005;119610421.11;15.837.043.000.000;119483716.81;834314.50;46968.13;140
00.016.913/0001-04;28/02/2005;120625288.64;15.848.760.000.000;120605834.72;1139401.92;105680.90;140
00.016.917/0001-84;01/02/2005;9071000.00;8.554.332.490.000.000;9073106.56;0.00;4651.53;7806
00.016.917/0001-84;02/02/2005;9075000.00;8.557.445.379.999.990;9074549.64;0.00;1858.46;7793
00.016.917/0001-84;03/02/2005;9073000.00;8.560.560.610.000.000;9069354.54;0.00;8498.35;7787
00.016.917/0001-84;04/02/2005;9077000.00;8.563.675.359.999.990;9071136.58;10811.00;12328.52;7787
00.016.917/0001-84;09/02/2005;9051000.00;8.566.799.300.000.000;9041734.60;2000.00;34710.44;7777
00.016.917/0001-84;10/02/2005;9039000.00;8.569.926.770.000.000;9027262.79;0.00;17772.33;7770
00.016.917/0001-84;11/02/2005;9034000.00;8.573.024.509.999.990;9019607.50;354.00;11272.22;7767
00.016.917/0001-84;14/02/2005;9042000.00;8.576.124.820.000.000;9025208.96;5881.00;3541.13;7761
00.016.917/0001-84;15/02/2005;9047000.00;8.579.233.660.000.000;9027240.04;0.00;1240.41;7758
00.016.917/0001-84;16/02/2005;9038000.00;8.582.344.180.000.000;9015870.22;0.00;14642.74;7753
00.016.917/0001-84;17/02/2005;9065000.00;8.585.457.150.000.000;9040356.91;23526.00;2309.42;7750
00.016.917/0001-84;18/02/2005;9046000.00;8.588.714.389.999.990;9018537.46;850.00;26099.13;7748
00.016.917/0001-84;21/02/2005;9044000.00;8.591.974.609.999.990;9013384.67;0.00;8575.73;7746
00.016.917/0001-84;22/02/2005;9051000.00;8.595.238.429.999.990;9017727.92;2150.00;1230.49;7738
00.016.917/0001-84;23/02/2005;9054000.00;8.598.504.770.000.000;9018460.04;0.00;2694.57;7733
00.016.917/0001-84;24/02/2005;9061000.00;8.601.774.040.000.000;9022076.77;4850.00;4662.09;7729
00.016.917/0001-84;25/02/2005;9063000.00;8.605.046.710.000.000;9022171.79;0.00;3337.29;7728
00.016.917/0001-84;28/02/2005;9066000.00;8.608.322.130.000.000;9022068.13;0.00;3537.56;7727
00.016.940/0001-79;01/02/2005;2226339.75;273.883.774.100.000;2227273.84;0.00;0.00;2
00.016.940/0001-79;02/02/2005;2229919.00;273.872.067.500.000;2227178.64;0.00;0.00;2
00.016.940/0001-79;03/02/2005;2229873.04;273.983.554.100.000;2228085.27;0.00;0.00;2
00.016.940/0001-79;04/02/2005;2230826.04;274.167.488.700.000;2229581.06;0.00;0.00;2
00.016.940/0001-79;09/02/2005;2232371.65;274.592.203.500.000;2233034.92;0.00;0.00;2
00.016.940/0001-79;10/02/2005;2235875.36;275.441.743.800.000;2239943.54;0.00;0.00;2
00.016.940/0001-79;11/02/2005;2242833.92;275.653.526.900.000;2241665.80;0.00;0.00;2
00.016.940/0001-79;14/02/2005;2244606.25;276.367.593.200.000;2247472.72;0.00;0.00;2
00.016.940/0001-79;15/02/2005;2250463.27;276.627.395.500.000;2249585.48;0.00;0.00;2
00.016.940/0001-79;16/02/2005;2252626.24;276.640.476.800.000;2249691.86;0.00;0.00;2
00.016.940/0001-79;17/02/2005;2252782.88;276.973.707.000.000;2252401.75;0.00;0.00;2
00.016.940/0001-79;18/02/2005;2255543.03;277.400.140.900.000;2255869.59;0.00;0.00;2
00.016.940/0001-79;21/02/2005;2259061.19;277.573.759.700.000;2257281.49;0.00;0.00;2
00.016.940/0001-79;22/02/2005;2260523.47;277.805.801.800.000;2259168.50;0.00;0.00;2
00.016.940/0001-79;23/02/2005;2262460.90;278.266.552.500.000;2262915.41;0.00;0.00;2
00.016.940/0001-79;24/02/2005;2266258.24;278.370.863.900.000;2263763.69;0.00;0.00;2
00.016.940/0001-79;25/02/2005;2267157.06;278.645.705.100.000;2265998.75;0.00;0.00;2
00.016.940/0001-79;28/02/2005;2269442.66;279.088.943.900.000;2269603.25;0.00;0.00;2
00.016.962/0001-39;01/02/2005;363703.27;0.440069100000;365810.32;0.00;0.00;1
00.016.962/0001-39;02/02/2005;363936.70;0.440334000000;366030.48;0.00;0.00;1
00.016.962/0001-39;03/02/2005;364170.67;0.440602600000;366253.75;0.00;0.00;1
00.016.962/0001-39;04/02/2005;364407.14;0.440874200000;366479.52;0.00;0.00;1
00.016.962/0001-39;09/02/2005;364636.42;0.441136800000;366697.85;0.00;0.00;1
00.016.962/0001-39;10/02/2005;364870.04;0.441400500000;366917.06;0.00;0.00;1
00.016.962/0001-39;11/02/2005;365104.00;0.441669100000;367140.32;0.00;0.00;1
00.016.962/0001-39;14/02/2005;365348.91;0.441950900000;367374.52;0.00;0.00;1
00.016.962/0001-39;15/02/2005;365565.15;0.442198100000;367580.05;0.00;0.00;1
00.016.962/0001-39;16/02/2005;365797.31;0.442464500000;367801.50;0.00;0.00;1
00.016.962/0001-39;17/02/2005;366052.81;0.442759000000;368046.29;0.00;0.00;1
00.016.962/0001-39;18/02/2005;366294.77;0.443037200000;368277.54;0.00;0.00;1
00.016.962/0001-39;21/02/2005;366574.33;0.443360600000;368546.37;0.00;0.00;1
00.016.962/0001-39;22/02/2005;366884.76;0.443721200000;368846.09;0.00;0.00;1
00.016.962/0001-39;23/02/2005;367100.64;0.443968000000;369051.25;0.00;0.00;1
00.016.962/0001-39;24/02/2005;367343.39;0.444247100000;369283.28;0.00;0.00;1
00.016.962/0001-39;25/02/2005;367593.67;0.444535300000;369522.84;0.00;0.00;1
00.016.962/0001-39;28/02/2005;367859.33;0.444842000000;369777.76;0.00;0.00;1
00.016.991/0001-09;01/02/2005;82935246.42;2.784.314.000.000;84723752.69;63900.00;234759.04;4565
00.016.991/0001-09;02/02/2005;83336553.72;2.807.512.000.000;85374019.00;11050.00;66673.03;4560
00.016.991/0001-09;03/02/2005;85849778.45;2.840.201.000.000;86284739.77;11500.00;94812.87;4555
00.016.991/0001-09;04/02/2005;87067267.46;2.908.105.000.000;88312294.81;138767.73;174124.86;4554
00.016.991/0001-09;09/02/2005;89958575.76;3.003.535.000.000;91025056.10;29897.00;214804.72;4554
00.016.991/0001-09;10/02/2005;90002907.48;2.995.649.000.000;90576831.90;215406.00;424612.70;4538
00.016.991/0001-09;11/02/2005;90302444.58;3.036.185.000.000;91273269.48;62160.00;591378.70;4530
00.016.991/0001-09;14/02/2005;91753159.09;3.039.279.000.000;90731639.79;44400.00;673866.56;4513
00.016.991/0001-09;15/02/2005;91784432.14;3.034.029.000.000;90186904.35;53600.00;441604.72;4500
00.016.991/0001-09;16/02/2005;91458135.68;3.028.552.000.000;89751833.85;104400.80;375588.81;4498
00.016.991/0001-09;17/02/2005;90198566.75;3.082.114.000.000;91009733.52;86694.87;416097.95;4497
00.016.991/0001-09;18/02/2005;89222398.41;3.075.858.000.000;90755715.26;130960.00;200265.23;4495
00.016.991/0001-09;21/02/2005;89023784.84;3.077.052.000.000;90478678.83;194210.00;505376.19;4491
00.016.991/0001-09;22/02/2005;90199772.96;3.097.076.000.000;91030487.05;159222.22;196201.02;4489
00.016.991/0001-09;23/02/2005;88958864.53;3.114.608.000.000;91383417.47;48400.00;211893.89;4490
00.016.991/0001-09;24/02/2005;92144842.92;3.222.008.000.000;94541830.03;132104.46;124825.63;4493
00.016.991/0001-09;25/02/2005;93013253.04;3.260.176.000.000;95129601.73;147084.73;679244.84;4478
00.016.991/0001-09;28/02/2005;93961935.85;3.215.085.000.000;93437442.53;196480.00;572923.53;4469
00.017.015/0001-62;01/02/2005;10655199.84;3.636.556.000.000;10729440.53;870.00;4136.24;810
00.017.015/0001-62;02/02/2005;10717868.13;3.668.363.000.000;10819298.66;4500.00;8488.36;811
00.017.015/0001-62;03/02/2005;10878661.35;3.725.952.000.000;10995206.05;6250.00;192.80;812
00.017.015/0001-62;04/02/2005;11190568.20;3.824.180.000.000;11276210.20;4894.00;13759.17;812
00.017.015/0001-62;09/02/2005;11563506.68;3.952.551.000.000;11669917.34;18817.76;3632.41;818
00.017.015/0001-62;10/02/2005;11551317.11;3.935.816.000.000;11619019.71;15861.00;17348.47;823
00.017.015/0001-62;11/02/2005;11693531.93;3.983.144.000.000;11775909.54;24330.00;7157.99;824
00.017.015/0001-62;14/02/2005;11724985.82;3.990.610.000.000;11789920.10;18300.00;26362.64;826
00.017.015/0001-62;15/02/2005;11707699.91;3.982.236.000.000;11762842.43;40738.00;43075.62;825
00.017.015/0001-62;16/02/2005;11640187.97;3.967.023.000.000;11718328.47;13497.41;13073.61;827
00.017.015/0001-62;17/02/2005;11847480.10;4.039.446.000.000;11939248.14;18804.00;11817.92;828
00.017.015/0001-62;18/02/2005;11819345.67;4.027.488.000.000;11906315.88;4200.00;1789.05;829
00.017.015/0001-62;21/02/2005;11836532.83;4.033.021.000.000;11929092.27;19118.00;12698.28;832
00.017.015/0001-62;22/02/2005;11879814.61;4.059.990.000.000;12003883.18;30232.00;35211.62;833
00.017.015/0001-62;23/02/2005;11936354.71;4.077.706.000.000;12017935.64;3750.00;42075.91;833
00.017.015/0001-62;24/02/2005;12362402.21;4.220.246.000.000;12443951.38;14040.00;8121.37;834
00.017.015/0001-62;25/02/2005;12524030.97;4.276.613.000.000;12619525.37;10710.12;1343.81;835
00.017.015/0001-62;28/02/2005;12335521.77;4.211.760.000.000;12432992.02;18845.00;14007.36;837
00.017.024/0001-53;01/02/2005;462709.48;10.260.600.000.000;462106.42;0.00;0.00;1
00.017.024/0001-53;02/02/2005;463016.72;10.266.550.000.000;462374.45;0.00;0.00;1
00.017.024/0001-53;03/02/2005;463324.08;10.272.500.000.000;462642.60;0.00;0.00;1
00.017.024/0001-53;04/02/2005;463631.90;10.278.450.000.000;462910.32;0.00;0.00;1
00.017.024/0001-53;09/02/2005;463720.41;10.284.380.000.000;463177.42;0.00;0.00;1
00.017.024/0001-53;10/02/2005;464016.99;10.290.060.000.000;463433.28;0.00;0.00;1
00.017.024/0001-53;11/02/2005;464324.95;10.295.990.000.000;463700.50;0.00;0.00;1
00.017.024/0001-53;14/02/2005;464632.52;10.301.920.000.000;463967.33;0.00;0.00;1
00.017.024/0001-53;15/02/2005;464941.14;10.307.870.000.000;464235.21;0.00;0.00;1
00.017.024/0001-53;16/02/2005;465249.79;10.313.820.000.000;464503.11;0.00;0.00;1
00.017.024/0001-53;17/02/2005;465558.66;10.319.770.000.000;464771.23;0.00;0.00;1
00.017.024/0001-53;18/02/2005;465875.37;10.325.900.000.000;465047.20;0.00;0.00;1
00.017.024/0001-53;21/02/2005;466192.17;10.332.030.000.000;465323.24;0.00;0.00;1
00.017.024/0001-53;22/02/2005;466509.69;10.338.170.000.000;465600.00;0.00;0.00;1
00.017.024/0001-53;23/02/2005;466827.10;10.344.310.000.000;465876.64;0.00;0.00;1
00.017.024/0001-53;24/02/2005;467144.71;10.350.460.000.000;466153.48;0.00;0.00;1
00.017.024/0001-53;25/02/2005;467462.55;10.356.610.000.000;466430.57;0.00;0.00;1
00.017.024/0001-53;28/02/2005;467700.76;10.362.770.000.000;466707.99;0.00;0.00;1
00.068.305/0001-35;01/02/2005;90301061.42;7.915.163.000.000;90209477.35;114633.95;118976.85;20466
00.068.305/0001-35;02/02/2005;90389398.76;7.919.533.000.000;90286243.22;173957.85;146996.83;20462
00.068.305/0001-35;03/02/2005;90408275.92;7.923.913.000.000;90293563.67;88524.17;131135.76;20453
00.068.305/0001-35;04/02/2005;90442451.08;7.928.249.000.000;90319929.83;123027.77;146070.77;20450
00.068.305/0001-35;09/02/2005;90319621.23;7.932.610.000.000;90237484.96;30402.31;162528.15;20441
00.068.305/0001-35;10/02/2005;90394361.73;7.936.958.000.000;90300666.85;142602.52;128879.78;20422
00.068.305/0001-35;11/02/2005;90426977.08;7.941.367.000.000;90323800.79;60065.66;87094.22;20420
00.068.305/0001-35;14/02/2005;90292703.81;7.945.627.000.000;90177660.14;125140.01;319734.53;20406
00.068.305/0001-35;15/02/2005;90558536.73;7.949.972.000.000;90463620.37;307352.58;70704.38;20410
00.068.305/0001-35;16/02/2005;90626460.21;7.954.594.000.000;90520075.96;101940.47;98079.72;20419
